subjectID,session,delayMsec,trial,isAnimal,response,numberDistractors
KAE,1,80,1,0,1,50
KAE,1,80,2,0,1,21
KAE,1,80,3,0,0,12
KAE,1,80,4,0,0,13
KAE,1,80,5,0,0,15
KAE,1,80,6,1,1,16
KAE,1,80,7,0,0,18
KAE,1,80,8,1,1,19
KAE,1,80,9,1,1,20
KAE,1,80,10,1,1,22
KAE,1,80,11,1,1,23
KAE,1,80,12,0,0,24
KAE,1,80,13,1,1,25
KAE,1,80,14,0,1,26
KAE,1,80,15,1,1,23
KAE,1,80,16,0,0,23
KAE,1,80,17,0,0,24
KAE,1,80,18,1,1,25
KAE,1,80,19,0,1,25
KAE,1,80,20,1,1,24
KAE,1,80,21,1,1,24
KAE,1,80,22,1,1,25
KAE,1,80,23,1,1,25
KAE,1,80,24,0,0,26
KAE,1,80,25,1,1,26
KAE,1,80,26,1,1,26
KAE,1,80,27,0,0,27
KAE,1,80,28,0,0,27
KAE,1,80,29,1,1,28
KAE,1,80,30,0,0,28
KAE,1,80,31,0,0,28
KAE,1,80,32,1,1,29
KAE,1,80,33,1,1,29
KAE,1,80,34,0,0,30
KAE,1,80,35,0,0,30
KAE,1,80,36,1,1,30
KAE,1,80,37,1,1,31
KAE,1,80,38,0,0,31
KAE,1,80,39,1,1,32
KAE,1,80,40,0,0,32
KAE,1,80,41,1,1,33
KAE,1,80,42,1,0,33
KAE,1,80,43,0,0,31
KAE,1,80,44,1,1,32
KAE,1,80,45,0,0,32
KAE,1,80,46,1,1,32
KAE,1,80,47,0,0,33
KAE,1,80,48,0,0,33
KAE,1,80,49,0,1,34
KAE,1,80,50,1,1,32
KAE,1,20,1,0,0,50
KAE,1,20,2,0,0,66
KAE,1,20,3,0,0,85
KAE,1,20,4,1,1,107
KAE,1,20,5,1,1,131
KAE,1,20,6,1,1,159
KAE,1,20,7,1,0,190
KAE,1,20,8,0,0,111
KAE,1,20,9,1,1,126
KAE,1,20,10,0,0,140
KAE,1,20,11,0,0,153
KAE,1,20,12,1,0,164
KAE,1,20,13,0,0,133
KAE,1,20,14,0,0,143
KAE,1,20,15,1,1,151
KAE,1,20,16,1,1,158
KAE,1,20,17,1,1,165
KAE,1,20,18,1,0,170
KAE,1,20,19,1,0,154
KAE,1,20,20,1,1,137
KAE,1,20,21,0,0,143
KAE,1,20,22,0,0,149
KAE,1,20,23,0,0,153
KAE,1,20,24,0,0,158
KAE,1,20,25,1,1,161
KAE,1,20,26,1,1,165
KAE,1,20,27,0,1,168
KAE,1,20,28,1,1,159
KAE,1,20,29,1,1,162
KAE,1,20,30,0,1,165
KAE,1,20,31,1,1,157
KAE,1,20,32,0,0,160
KAE,1,20,33,0,0,163
KAE,1,20,34,0,0,165
KAE,1,20,35,1,1,167
KAE,1,20,36,1,1,169
KAE,1,20,37,1,1,171
KAE,1,20,38,1,0,173
KAE,1,20,39,1,1,168
KAE,1,20,40,1,1,170
KAE,1,20,41,0,0,172
KAE,1,20,42,1,1,173
KAE,1,20,43,0,0,175
KAE,1,20,44,0,0,176
KAE,1,20,45,0,1,178
KAE,1,20,46,0,0,173
KAE,1,20,47,0,0,175
KAE,1,20,48,1,1,176
KAE,1,20,49,0,0,178
KAE,1,20,50,0,0,179
KAE,1,100,1,0,0,50
KAE,1,100,2,0,0,66
KAE,1,100,3,0,0,85
KAE,1,100,4,1,0,107
KAE,1,100,5,0,0,53
KAE,1,100,6,0,1,62
KAE,1,100,7,0,1,35
KAE,1,100,8,0,1,19
KAE,1,100,9,1,1,11
KAE,1,100,10,1,1,12
KAE,1,100,11,1,1,14
KAE,1,100,12,0,0,15
KAE,1,100,13,0,0,16
KAE,1,100,14,1,1,18
KAE,1,100,15,0,0,19
KAE,1,100,16,0,0,20
KAE,1,100,17,0,1,21
KAE,1,100,18,1,1,18
KAE,1,100,19,1,1,19
KAE,1,100,20,0,0,19
KAE,1,100,21,1,1,20
KAE,1,100,22,0,0,21
KAE,1,100,23,1,1,21
KAE,1,100,24,1,1,22
KAE,1,100,25,1,1,22
KAE,1,100,26,0,0,23
KAE,1,100,27,1,1,23
KAE,1,100,28,0,0,24
KAE,1,100,29,0,0,24
KAE,1,100,30,0,0,25
KAE,1,100,31,0,0,25
KAE,1,100,32,1,1,25
KAE,1,100,33,1,1,26
KAE,1,100,34,0,1,26
KAE,1,100,35,0,0,25
KAE,1,100,36,1,1,25
KAE,1,100,37,0,0,26
KAE,1,100,38,0,0,26
KAE,1,100,39,1,1,26
KAE,1,100,40,1,1,27
KAE,1,100,41,1,1,27
KAE,1,100,42,1,1,27
KAE,1,100,43,1,1,28
KAE,1,100,44,1,1,28
KAE,1,100,45,1,1,28
KAE,1,100,46,1,1,29
KAE,1,100,47,1,1,29
KAE,1,100,48,0,0,30
KAE,1,100,49,1,1,30
KAE,1,100,50,0,0,31
KAE,1,60,1,0,0,50
KAE,1,60,2,0,0,66
KAE,1,60,3,0,0,85
KAE,1,60,4,0,0,107
KAE,1,60,5,1,0,131
KAE,1,60,6,1,1,69
KAE,1,60,7,0,0,81
KAE,1,60,8,0,0,92
KAE,1,60,9,0,0,101
KAE,1,60,10,1,0,110
KAE,1,60,11,0,0,86
KAE,1,60,12,1,1,93
KAE,1,60,13,0,0,99
KAE,1,60,14,1,1,105
KAE,1,60,15,0,0,109
KAE,1,60,16,1,1,114
KAE,1,60,17,0,1,117
KAE,1,60,18,1,1,107
KAE,1,60,19,1,0,110
KAE,1,60,20,0,0,100
KAE,1,60,21,0,0,104
KAE,1,60,22,1,1,107
KAE,1,60,23,0,0,110
KAE,1,60,24,0,0,112
KAE,1,60,25,0,0,114
KAE,1,60,26,0,0,116
KAE,1,60,27,1,1,118
KAE,1,60,28,0,0,120
KAE,1,60,29,1,1,122
KAE,1,60,30,1,1,123
KAE,1,60,31,1,1,125
KAE,1,60,32,0,0,127
